molecule	ORF	genome	gene	start	end	orientation
NC_010981.1_1100	NC_010981.1_1100	NC_010981.1	Length	1	288	1
NC_010981.1_1274	NC_010981.1_1274	NC_010981.1	Length	1	386	1
NC_010981.1_1329	NC_010981.1_1329	NC_010981.1	Length	1	173	1
NC_010981.1_505	NC_010981.1_505	NC_010981.1	Length	1	304	1
NC_011071.1_3971	NC_011071.1_3971	NC_011071.1	Length	1	1113	1
NC_012225.1_105	NC_012225.1_105	NC_012225.1	Length	1	502	1
NC_012225.1_114	NC_012225.1_114	NC_012225.1	Length	1	383	1
NC_012225.1_1969	NC_012225.1_1969	NC_012225.1	Length	1	335	1
NC_012225.1_298	NC_012225.1_298	NC_012225.1	Length	1	542	1
NC_012225.1_836	NC_012225.1_836	NC_012225.1	Length	1	556	1
NC_012416.1_631	NC_012416.1_631	NC_012416.1	Length	1	927	1
NC_012416.1_646	NC_012416.1_646	NC_012416.1	Length	1	618	1
NC_012416.1_648	NC_012416.1_648	NC_012416.1	Length	1	360	1
NC_012416.1_91	NC_012416.1_91	NC_012416.1	Length	1	1095	1
NC_012483.1_2986	NC_012483.1_2986	NC_012483.1	Length	1	218	1
NC_012489.1_124	NC_012489.1_124	NC_012489.1	Length	1	711	1
NC_012914.1_3335	NC_012914.1_3335	NC_012914.1	Length	1	434	1
NC_013009.1_13	NC_013009.1_13	NC_013009.1	Length	1	202	1
NC_013192.1_755	NC_013192.1_755	NC_013192.1	Length	1	251	1
NC_013410.1_132	NC_013410.1_132	NC_013410.1	Length	1	771	1
NC_013530.1_2821	NC_013530.1_2821	NC_013530.1	Length	1	321	1
NC_013854.1_572	NC_013854.1_572	NC_013854.1	Length	1	790	1
NC_013949.1_456	NC_013949.1_456	NC_013949.1	Length	1	278	1
NC_014019.1_3723	NC_014019.1_3723	NC_014019.1	Length	1	166	1
NC_014118.1_2478	NC_014118.1_2478	NC_014118.1	Length	1	221	1
NC_014150.1_1344	NC_014150.1_1344	NC_014150.1	Length	1	405	1
NC_014150.1_2684	NC_014150.1_2684	NC_014150.1	Length	1	427	1
NC_014168.1_2846	NC_014168.1_2846	NC_014168.1	Length	1	171	1
NC_014230.1_1371	NC_014230.1_1371	NC_014230.1	Length	1	179	1
NC_014330.1_1196	NC_014330.1_1196	NC_014330.1	Length	1	274	1
NC_014330.1_162	NC_014330.1_162	NC_014330.1	Length	1	231	1
NC_014330.1_2166	NC_014330.1_2166	NC_014330.1	Length	1	427	1
NC_015167.1_3000	NC_015167.1_3000	NC_015167.1	Length	1	158	1
NC_015174.1_789	NC_015174.1_789	NC_015174.1	Length	1	196	1
NC_015184.1_261	NC_015184.1_261	NC_015184.1	Length	1	344	1
NC_015185.1_985	NC_015185.1_985	NC_015185.1	Length	1	236	1
NC_015387.1_2198	NC_015387.1_2198	NC_015387.1	Length	1	360	1
NC_015496.1_1880	NC_015496.1_1880	NC_015496.1	Length	1	509	1
NC_015714.1_780	NC_015714.1_780	NC_015714.1	Length	1	935	1
NC_015732.1_1525	NC_015732.1_1525	NC_015732.1	Length	1	297	1
NC_015945.1_1077	NC_015945.1_1077	NC_015945.1	Length	1	159	1
NC_016617.1_2348	NC_016617.1_2348	NC_016617.1	Length	1	802	1
NC_016631.1_3170	NC_016631.1_3170	NC_016631.1	Length	1	506	1
NC_016745.1_1635	NC_016745.1_1635	NC_016745.1	Length	1	238	1
NC_016943.1_3651	NC_016943.1_3651	NC_016943.1	Length	1	270	1
NC_017042.1_606	NC_017042.1_606	NC_017042.1	Length	1	233	1
NC_017243.1_1570	NC_017243.1_1570	NC_017243.1	Length	1	646	1
NC_017243.1_2205	NC_017243.1_2205	NC_017243.1	Length	1	192	1
NC_017243.1_2654	NC_017243.1_2654	NC_017243.1	Length	1	341	1
NC_017243.1_2655	NC_017243.1_2655	NC_017243.1	Length	1	344	1
NC_017243.1_423	NC_017243.1_423	NC_017243.1	Length	1	230	1
NC_017448.1_514	NC_017448.1_514	NC_017448.1	Length	1	771	1
NC_017551.1_1809	NC_017551.1_1809	NC_017551.1	Length	1	247	1
NC_018025.1_108	NC_018025.1_108	NC_018025.1	Length	1	475	1
NC_018025.1_3331	NC_018025.1_3331	NC_018025.1	Length	1	537	1
NC_018025.1_4586	NC_018025.1_4586	NC_018025.1	Length	1	197	1
NC_018025.1_5034	NC_018025.1_5034	NC_018025.1	Length	1	272	1
NC_018221.1_313	NC_018221.1_313	NC_018221.1	Length	1	268	1
NC_018500.1_5077	NC_018500.1_5077	NC_018500.1	Length	1	232	1
NC_018604.1_254	NC_018604.1_254	NC_018604.1	Length	1	366	1
NC_018605.1_84	NC_018605.1_84	NC_018605.1	Length	1	734	1
NC_018607.1_1115	NC_018607.1_1115	NC_018607.1	Length	1	427	1
NC_018607.1_1430	NC_018607.1_1430	NC_018607.1	Length	1	231	1
NC_018607.1_2445	NC_018607.1_2445	NC_018607.1	Length	1	366	1
NC_018607.1_2588	NC_018607.1_2588	NC_018607.1	Length	1	646	1
NC_018708.1_2200	NC_018708.1_2200	NC_018708.1	Length	1	225	1
NC_019427.1_3706	NC_019427.1_3706	NC_019427.1	Length	1	428	1
NC_019676.1_3334	NC_019676.1_3334	NC_019676.1	Length	1	155	1
NC_019676.1_3366	NC_019676.1_3366	NC_019676.1	Length	1	573	1
NC_019682.1_947	NC_019682.1_947	NC_019682.1	Length	1	428	1
NC_019689.1_3873	NC_019689.1_3873	NC_019689.1	Length	1	485	1
NC_019729.1_2748	NC_019729.1_2748	NC_019729.1	Length	1	837	1
NC_019892.1_1296	NC_019892.1_1296	NC_019892.1	Length	1	482	1
NC_019892.1_8083	NC_019892.1_8083	NC_019892.1	Length	1	499	1
NC_019908.1_1797	NC_019908.1_1797	NC_019908.1	Length	1	649	1
NC_019908.1_2267	NC_019908.1_2267	NC_019908.1	Length	1	389	1
NC_019908.1_733	NC_019908.1_733	NC_019908.1	Length	1	427	1
NC_019940.1_1598	NC_019940.1_1598	NC_019940.1	Length	1	235	1
NC_019964.1_55	NC_019964.1_55	NC_019964.1	Length	1	166	1
NC_020055.1_2474	NC_020055.1_2474	NC_020055.1	Length	1	197	1
NC_020126.1_5280	NC_020126.1_5280	NC_020126.1	Length	1	206	1
NC_020126.1_8659	NC_020126.1_8659	NC_020126.1	Length	1	395	1
NC_020238.1_4910	NC_020238.1_4910	NC_020238.1	Length	1	197	1
NC_020389.1_44	NC_020389.1_44	NC_020389.1	Length	1	361	1
NC_020506.1_1767	NC_020506.1_1767	NC_020506.1	Length	1	159	1
NC_020519.1_2063	NC_020519.1_2063	NC_020519.1	Length	1	193	1
NC_021016.1_713	NC_021016.1_713	NC_021016.1	Length	1	254	1
NC_021038.1_2522	NC_021038.1_2522	NC_021038.1	Length	1	355	1
NC_021038.1_2529	NC_021038.1_2529	NC_021038.1	Length	1	350	1
NC_021038.1_2537	NC_021038.1_2537	NC_021038.1	Length	1	350	1
NC_021084.1_1008	NC_021084.1_1008	NC_021084.1	Length	1	555	1
NC_021084.1_1014	NC_021084.1_1014	NC_021084.1	Length	1	791	1
NC_021084.1_1115	NC_021084.1_1115	NC_021084.1	Length	1	320	1
NC_021084.1_213	NC_021084.1_213	NC_021084.1	Length	1	867	1
NC_021084.1_352	NC_021084.1_352	NC_021084.1	Length	1	182	1
NC_021084.1_447	NC_021084.1_447	NC_021084.1	Length	1	486	1
NC_021084.1_792	NC_021084.1_792	NC_021084.1	Length	1	298	1
NC_021089.1_202	NC_021089.1_202	NC_021089.1	Length	1	270	1
NC_021089.1_224	NC_021089.1_224	NC_021089.1	Length	1	841	1
NC_021089.1_225	NC_021089.1_225	NC_021089.1	Length	1	487	1
NC_021089.1_273	NC_021089.1_273	NC_021089.1	Length	1	501	1
NC_021089.1_478	NC_021089.1_478	NC_021089.1	Length	1	533	1
NC_021089.1_566	NC_021089.1_566	NC_021089.1	Length	1	283	1
NC_021281.1_458	NC_021281.1_458	NC_021281.1	Length	1	323	1
NC_021487.1_2508	NC_021487.1_2508	NC_021487.1	Length	1	335	1
NC_021577.1_2696	NC_021577.1_2696	NC_021577.1	Length	1	211	1
NC_022040.1_1822	NC_022040.1_1822	NC_022040.1	Length	1	193	1
NC_022247.1_2653	NC_022247.1_2653	NC_022247.1	Length	1	226	1
NC_022657.1_2561	NC_022657.1_2561	NC_022657.1	Length	1	384	1
NC_023003.1_153	NC_023003.1_153	NC_023003.1	Length	1	303	1
NC_023003.1_655	NC_023003.1_655	NC_023003.1	Length	1	361	1
NZ_AADV02000075.1_15	NZ_AADV02000075.1_15	NZ_AADV02000075.1	Length	1	423	1
NZ_AAKL01000051.1_36	NZ_AAKL01000051.1_36	NZ_AAKL01000051.1	Length	1	262	1
NZ_ACFP01000252.1_26	NZ_ACFP01000252.1_26	NZ_ACFP01000252.1	Length	1	455	1
NZ_AERW01000059.1_2	NZ_AERW01000059.1_2	NZ_AERW01000059.1	Length	1	469	1
NZ_AERW01000119.1_3	NZ_AERW01000119.1_3	NZ_AERW01000119.1	Length	1	304	1
NZ_AERW01000295.1_1	NZ_AERW01000295.1_1	NZ_AERW01000295.1	Length	1	192	1
NZ_AFJQ01000180.1_9	NZ_AFJQ01000180.1_9	NZ_AFJQ01000180.1	Length	1	358	1
NZ_AFKA01000145.1_9	NZ_AFKA01000145.1_9	NZ_AFKA01000145.1	Length	1	358	1
NZ_AFKJ01000130.1_9	NZ_AFKJ01000130.1_9	NZ_AFKJ01000130.1	Length	1	358	1
NZ_AFKT01000077.1_9	NZ_AFKT01000077.1_9	NZ_AFKT01000077.1	Length	1	358	1
NZ_AFKW01000087.1_5	NZ_AFKW01000087.1_5	NZ_AFKW01000087.1	Length	1	358	1
NZ_AFKY01000128.1_27	NZ_AFKY01000128.1_27	NZ_AFKY01000128.1	Length	1	358	1
NZ_AFKZ01000176.1_27	NZ_AFKZ01000176.1_27	NZ_AFKZ01000176.1	Length	1	358	1
NZ_AFLI01000077.1_27	NZ_AFLI01000077.1_27	NZ_AFLI01000077.1	Length	1	358	1
NZ_AFLP01000376.1_1	NZ_AFLP01000376.1_1	NZ_AFLP01000376.1	Length	1	385	1
NZ_AFMJ01000050.1_2	NZ_AFMJ01000050.1_2	NZ_AFMJ01000050.1	Length	1	358	1
NZ_AHPW01000083.1_19	NZ_AHPW01000083.1_19	NZ_AHPW01000083.1	Length	1	358	1
NZ_AHQA01000051.1_10	NZ_AHQA01000051.1_10	NZ_AHQA01000051.1	Length	1	412	1
NZ_AHQB01000109.1_28	NZ_AHQB01000109.1_28	NZ_AHQB01000109.1	Length	1	247	1
NZ_AHQL01000254.1_11	NZ_AHQL01000254.1_11	NZ_AHQL01000254.1	Length	1	151	1
NZ_AHQM01000147.1_7	NZ_AHQM01000147.1_7	NZ_AHQM01000147.1	Length	1	358	1
NZ_AHQP01000163.1_10	NZ_AHQP01000163.1_10	NZ_AHQP01000163.1	Length	1	358	1
NZ_AHQT01000214.1_11	NZ_AHQT01000214.1_11	NZ_AHQT01000214.1	Length	1	606	1
NZ_AHQV01000112.1_27	NZ_AHQV01000112.1_27	NZ_AHQV01000112.1	Length	1	385	1
NZ_AHQW01000066.1_4	NZ_AHQW01000066.1_4	NZ_AHQW01000066.1	Length	1	358	1
NZ_AHQY01000026.1_6	NZ_AHQY01000026.1_6	NZ_AHQY01000026.1	Length	1	220	1
NZ_AHRA01000022.1_86	NZ_AHRA01000022.1_86	NZ_AHRA01000022.1	Length	1	279	1
NZ_AHRA01000163.1_43	NZ_AHRA01000163.1_43	NZ_AHRA01000163.1	Length	1	192	1
NZ_AIDI02000035.1_141	NZ_AIDI02000035.1_141	NZ_AIDI02000035.1	Length	1	409	1
NZ_ALVU02000001.1_1148	NZ_ALVU02000001.1_1148	NZ_ALVU02000001.1	Length	1	485	1
NZ_AP013028.1_1174	NZ_AP013028.1_1174	NZ_AP013028.1	Length	1	219	1
NZ_AP013028.1_282	NZ_AP013028.1_282	NZ_AP013028.1	Length	1	199	1
NZ_AP013028.1_873	NZ_AP013028.1_873	NZ_AP013028.1	Length	1	207	1
NZ_AP013028.1_887	NZ_AP013028.1_887	NZ_AP013028.1	Length	1	998	1
NZ_AP014583.1_3018	NZ_AP014583.1_3018	NZ_AP014583.1	Length	1	198	1
NZ_AP017372.2_1448	NZ_AP017372.2_1448	NZ_AP017372.2	Length	1	353	1
NZ_AP018042.1_4207	NZ_AP018042.1_4207	NZ_AP018042.1	Length	1	199	1
NZ_AP018172.1_5765	NZ_AP018172.1_5765	NZ_AP018172.1	Length	1	428	1
NZ_AP018172.1_6826	NZ_AP018172.1_6826	NZ_AP018172.1	Length	1	155	1
NZ_AP018195.1_449	NZ_AP018195.1_449	NZ_AP018195.1	Length	1	166	1
NZ_AP018207.1_5342	NZ_AP018207.1_5342	NZ_AP018207.1	Length	1	235	1
NZ_AP018207.1_6046	NZ_AP018207.1_6046	NZ_AP018207.1	Length	1	155	1
NZ_AP018216.1_5088	NZ_AP018216.1_5088	NZ_AP018216.1	Length	1	176	1
NZ_AP018217.1_363	NZ_AP018217.1_363	NZ_AP018217.1	Length	1	607	1
NZ_AP018227.1_4314	NZ_AP018227.1_4314	NZ_AP018227.1	Length	1	691	1
NZ_AP018248.1_2736	NZ_AP018248.1_2736	NZ_AP018248.1	Length	1	344	1
NZ_AP018248.1_3286	NZ_AP018248.1_3286	NZ_AP018248.1	Length	1	573	1
NZ_AP018254.1_2052	NZ_AP018254.1_2052	NZ_AP018254.1	Length	1	599	1
NZ_AP018665.1_174	NZ_AP018665.1_174	NZ_AP018665.1	Length	1	191	1
NZ_AP018676.1_664	NZ_AP018676.1_664	NZ_AP018676.1	Length	1	281	1
NZ_AP019314.1_1903	NZ_AP019314.1_1903	NZ_AP019314.1	Length	1	458	1
NZ_AP019780.1_468	NZ_AP019780.1_468	NZ_AP019780.1	Length	1	361	1
NZ_AP019823.1_1555	NZ_AP019823.1_1555	NZ_AP019823.1	Length	1	254	1
NZ_AP019846.1_784	NZ_AP019846.1_784	NZ_AP019846.1	Length	1	255	1
NZ_AP019860.1_4612	NZ_AP019860.1_4612	NZ_AP019860.1	Length	1	789	1
NZ_AP019860.1_808	NZ_AP019860.1_808	NZ_AP019860.1	Length	1	738	1
NZ_AP021898.1_484	NZ_AP021898.1_484	NZ_AP021898.1	Length	1	353	1
NZ_AP022372.1_1933	NZ_AP022372.1_1933	NZ_AP022372.1	Length	1	229	1
NZ_AP022373.1_784	NZ_AP022373.1_784	NZ_AP022373.1	Length	1	229	1
NZ_AP022593.1_434	NZ_AP022593.1_434	NZ_AP022593.1	Length	1	334	1
NZ_AP022607.1_328	NZ_AP022607.1_328	NZ_AP022607.1	Length	1	163	1
NZ_AP022839.1_2465	NZ_AP022839.1_2465	NZ_AP022839.1	Length	1	553	1
NZ_AP023000.1_524	NZ_AP023000.1_524	NZ_AP023000.1	Length	1	265	1
NZ_AP023180.1_1970	NZ_AP023180.1_1970	NZ_AP023180.1	Length	1	176	1
NZ_AP023181.1_24	NZ_AP023181.1_24	NZ_AP023181.1	Length	1	224	1
NZ_AP023367.1_1350	NZ_AP023367.1_1350	NZ_AP023367.1	Length	1	382	1
NZ_AP024100.1_502	NZ_AP024100.1_502	NZ_AP024100.1	Length	1	764	1
NZ_AP024102.1_536	NZ_AP024102.1_536	NZ_AP024102.1	Length	1	764	1
NZ_AP024103.1_1919	NZ_AP024103.1_1919	NZ_AP024103.1	Length	1	292	1
NZ_AP024107.1_1991	NZ_AP024107.1_1991	NZ_AP024107.1	Length	1	292	1
NZ_AP024108.1_572	NZ_AP024108.1_572	NZ_AP024108.1	Length	1	764	1
NZ_AP024160.1_502	NZ_AP024160.1_502	NZ_AP024160.1	Length	1	764	1
NZ_AP024162.1_476	NZ_AP024162.1_476	NZ_AP024162.1	Length	1	764	1
NZ_AP024452.1_1784	NZ_AP024452.1_1784	NZ_AP024452.1	Length	1	492	1
NZ_AP024563.1_2470	NZ_AP024563.1_2470	NZ_AP024563.1	Length	1	324	1
NZ_AP024614.1_121	NZ_AP024614.1_121	NZ_AP024614.1	Length	1	602	1
NZ_AP024618.1_2436	NZ_AP024618.1_2436	NZ_AP024618.1	Length	1	168	1
NZ_AP024882.1_517	NZ_AP024882.1_517	NZ_AP024882.1	Length	1	366	1
NZ_AP025018.1_1528	NZ_AP025018.1_1528	NZ_AP025018.1	Length	1	440	1
NZ_AP025018.1_5065	NZ_AP025018.1_5065	NZ_AP025018.1	Length	1	412	1
NZ_AP025556.1_3219	NZ_AP025556.1_3219	NZ_AP025556.1	Length	1	242	1
NZ_AP025732.1_2627	NZ_AP025732.1_2627	NZ_AP025732.1	Length	1	163	1
NZ_AP026070.1_1766	NZ_AP026070.1_1766	NZ_AP026070.1	Length	1	388	1
NZ_AP026080.1_235	NZ_AP026080.1_235	NZ_AP026080.1	Length	1	197	1
NZ_AP026114.1_235	NZ_AP026114.1_235	NZ_AP026114.1	Length	1	197	1
NZ_APLP01000009.1_250	NZ_APLP01000009.1_250	NZ_APLP01000009.1	Length	1	344	1
NZ_AUAP01000046.1_1	NZ_AUAP01000046.1_1	NZ_AUAP01000046.1	Length	1	252	1
NZ_AUCE01000013.1_51	NZ_AUCE01000013.1_51	NZ_AUCE01000013.1	Length	1	154	1
NZ_AUFT01000006.1_135	NZ_AUFT01000006.1_135	NZ_AUFT01000006.1	Length	1	176	1
NZ_AUHA01000003.1_32	NZ_AUHA01000003.1_32	NZ_AUHA01000003.1	Length	1	217	1
NZ_AUHO01000006.1_834	NZ_AUHO01000006.1_834	NZ_AUHO01000006.1	Length	1	225	1
NZ_AULQ01000001.1_256	NZ_AULQ01000001.1_256	NZ_AULQ01000001.1	Length	1	170	1
NZ_AUMT01000013.1_163	NZ_AUMT01000013.1_163	NZ_AUMT01000013.1	Length	1	177	1
NZ_AWRU01000017.1_17	NZ_AWRU01000017.1_17	NZ_AWRU01000017.1	Length	1	165	1
NZ_AWUH01000191.1_1	NZ_AWUH01000191.1_1	NZ_AWUH01000191.1	Length	1	694	1
NZ_AXZO01000001.1_1178	NZ_AXZO01000001.1_1178	NZ_AXZO01000001.1	Length	1	187	1
NZ_BAND01000005.1_136	NZ_BAND01000005.1_136	NZ_BAND01000005.1	Length	1	173	1
NZ_BBMA01000006.1_161	NZ_BBMA01000006.1_161	NZ_BBMA01000006.1	Length	1	233	1
NZ_BBNO01000007.1_640	NZ_BBNO01000007.1_640	NZ_BBNO01000007.1	Length	1	255	1
NZ_BBXC01000008.1_310	NZ_BBXC01000008.1_310	NZ_BBXC01000008.1	Length	1	462	1
NZ_BBXE01000014.1_86	NZ_BBXE01000014.1_86	NZ_BBXE01000014.1	Length	1	462	1
NZ_BBZG01000003.1_511	NZ_BBZG01000003.1_511	NZ_BBZG01000003.1	Length	1	450	1
NZ_BCMN01000009.1_166	NZ_BCMN01000009.1_166	NZ_BCMN01000009.1	Length	1	246	1
NZ_BDUD01000001.1_6002	NZ_BDUD01000001.1_6002	NZ_BDUD01000001.1	Length	1	163	1
NZ_BFBO01000013.1_38	NZ_BFBO01000013.1_38	NZ_BFBO01000013.1	Length	1	246	1
NZ_BFBP01000014.1_68	NZ_BFBP01000014.1_68	NZ_BFBP01000014.1	Length	1	213	1
NZ_BFHF01000017.1_35	NZ_BFHF01000017.1_35	NZ_BFHF01000017.1	Length	1	202	1
NZ_BHFZ01000030.1_7	NZ_BHFZ01000030.1_7	NZ_BHFZ01000030.1	Length	1	223	1
NZ_BHVU01000175.1_3	NZ_BHVU01000175.1_3	NZ_BHVU01000175.1	Length	1	458	1
NZ_BMIB01000001.1_442	NZ_BMIB01000001.1_442	NZ_BMIB01000001.1	Length	1	394	1
NZ_BMKP01000010.1_103	NZ_BMKP01000010.1_103	NZ_BMKP01000010.1	Length	1	172	1
NZ_BMNC01000001.1_892	NZ_BMNC01000001.1_892	NZ_BMNC01000001.1	Length	1	249	1
NZ_BMNL01000002.1_372	NZ_BMNL01000002.1_372	NZ_BMNL01000002.1	Length	1	282	1
NZ_BMOL01000011.1_129	NZ_BMOL01000011.1_129	NZ_BMOL01000011.1	Length	1	219	1
NZ_BMOM01000011.1_54	NZ_BMOM01000011.1_54	NZ_BMOM01000011.1	Length	1	205	1
NZ_BMOW01000002.1_337	NZ_BMOW01000002.1_337	NZ_BMOW01000002.1	Length	1	192	1
NZ_BMQU01000012.1_147	NZ_BMQU01000012.1_147	NZ_BMQU01000012.1	Length	1	174	1
NZ_BMSS01000001.1_12	NZ_BMSS01000001.1_12	NZ_BMSS01000001.1	Length	1	255	1
NZ_BMXF01000001.1_159	NZ_BMXF01000001.1_159	NZ_BMXF01000001.1	Length	1	493	1
NZ_BNAG01000004.1_188	NZ_BNAG01000004.1_188	NZ_BNAG01000004.1	Length	1	162	1
NZ_BNAG01000007.1_42	NZ_BNAG01000007.1_42	NZ_BNAG01000007.1	Length	1	496	1
NZ_BNAL01000029.1_13	NZ_BNAL01000029.1_13	NZ_BNAL01000029.1	Length	1	184	1
NZ_BORN01000001.1_410	NZ_BORN01000001.1_410	NZ_BORN01000001.1	Length	1	227	1
NZ_BPMK01000021.1_42	NZ_BPMK01000021.1_42	NZ_BPMK01000021.1	Length	1	1063	1
NZ_BPQA01000008.1_276	NZ_BPQA01000008.1_276	NZ_BPQA01000008.1	Length	1	419	1
NZ_BQME02000002.1_1849	NZ_BQME02000002.1_1849	NZ_BQME02000002.1	Length	1	239	1
NZ_CAAAHR010000011.1_56	NZ_CAAAHR010000011.1_56	NZ_CAAAHR010000011.1	Length	1	392	1
NZ_CAAAHR010000020.1_2	NZ_CAAAHR010000020.1_2	NZ_CAAAHR010000020.1	Length	1	557	1
NZ_CAAAHT010000012.1_60	NZ_CAAAHT010000012.1_60	NZ_CAAAHT010000012.1	Length	1	381	1
NZ_CAAAHU010000013.1_81	NZ_CAAAHU010000013.1_81	NZ_CAAAHU010000013.1	Length	1	560	1
NZ_CAAAHV010000001.1_114	NZ_CAAAHV010000001.1_114	NZ_CAAAHV010000001.1	Length	1	662	1
NZ_CAAAHV010000028.1_20	NZ_CAAAHV010000028.1_20	NZ_CAAAHV010000028.1	Length	1	352	1
NZ_CAAAHV010000032.1_14	NZ_CAAAHV010000032.1_14	NZ_CAAAHV010000032.1	Length	1	746	1
NZ_CAAAIE010000002.1_524	NZ_CAAAIE010000002.1_524	NZ_CAAAIE010000002.1	Length	1	392	1
NZ_CAAAIK010000021.1_20	NZ_CAAAIK010000021.1_20	NZ_CAAAIK010000021.1	Length	1	348	1
NZ_CAAAIX010000011.1_88	NZ_CAAAIX010000011.1_88	NZ_CAAAIX010000011.1	Length	1	564	1
NZ_CABGRO010000006.1_62	NZ_CABGRO010000006.1_62	NZ_CABGRO010000006.1	Length	1	268	1
NZ_CABGTP010000002.1_54	NZ_CABGTP010000002.1_54	NZ_CABGTP010000002.1	Length	1	268	1
NZ_CABHAT010000006.1_97	NZ_CABHAT010000006.1_97	NZ_CABHAT010000006.1	Length	1	268	1
NZ_CABVGU010000023.1_13	NZ_CABVGU010000023.1_13	NZ_CABVGU010000023.1	Length	1	172	1
NZ_CABVHO010000008.1_25	NZ_CABVHO010000008.1_25	NZ_CABVHO010000008.1	Length	1	220	1
NZ_CABVHS010000010.1_131	NZ_CABVHS010000010.1_131	NZ_CABVHS010000010.1	Length	1	172	1
NZ_CACTIU010000041.1_5	NZ_CACTIU010000041.1_5	NZ_CACTIU010000041.1	Length	1	643	1
NZ_CACTIU010000044.1_3	NZ_CACTIU010000044.1_3	NZ_CACTIU010000044.1	Length	1	682	1
NZ_CACTIU010000097.1_2	NZ_CACTIU010000097.1_2	NZ_CACTIU010000097.1	Length	1	501	1
NZ_CACTIU010000099.1_1	NZ_CACTIU010000099.1_1	NZ_CACTIU010000099.1	Length	1	636	1
NZ_CACTIV010000002.1_3	NZ_CACTIV010000002.1_3	NZ_CACTIV010000002.1	Length	1	270	1
NZ_CACTIV010000012.1_2	NZ_CACTIV010000012.1_2	NZ_CACTIV010000012.1	Length	1	947	1
NZ_CACTIV010000015.1_14	NZ_CACTIV010000015.1_14	NZ_CACTIV010000015.1	Length	1	180	1
NZ_CADDIL010000004.1_220	NZ_CADDIL010000004.1_220	NZ_CADDIL010000004.1	Length	1	242	1
NZ_CADDZZ010000001.1_66	NZ_CADDZZ010000001.1_66	NZ_CADDZZ010000001.1	Length	1	237	1
NZ_CADEQM010000018.1_42	NZ_CADEQM010000018.1_42	NZ_CADEQM010000018.1	Length	1	237	1
NZ_CADESR010000001.1_1323	NZ_CADESR010000001.1_1323	NZ_CADESR010000001.1	Length	1	237	1
NZ_CADETP010000026.1_15	NZ_CADETP010000026.1_15	NZ_CADETP010000026.1	Length	1	237	1
NZ_CADEUG010000026.1_12	NZ_CADEUG010000026.1_12	NZ_CADEUG010000026.1	Length	1	237	1
NZ_CADFCV010000006.1_329	NZ_CADFCV010000006.1_329	NZ_CADFCV010000006.1	Length	1	237	1
NZ_CADFCX010000005.1_329	NZ_CADFCX010000005.1_329	NZ_CADFCX010000005.1	Length	1	237	1
